Appliance,Model,Wattage,Company,Months,Seasonal Usage
AC,Daikin FTKF50TV 1.5 Ton Split AC,1450,Daikin,May-August,High
AC,LG Dual Inverter AC 1 Ton,1000,LG,June-August,High
AC,Samsung AR12NV5HLT 1 Ton Split AC,1250,Samsung,June-August,High
AC,Voltas 1.5 Ton 3 Star Split AC,1350,Voltas,May-July,Medium
AC,Hitachi 1 Ton 5 Star Inverter AC,1100,Hitachi,June-August,High
AC,Carrier 1.5 Ton 3 Star Split AC,1400,Carrier,May-July,Medium
AC,Blue Star 1.5 Ton Split AC,1300,Blue Star,May-August,Medium
AC,Whirlpool 1 Ton 5 Star Inverter AC,1150,Whirlpool,June-August,High
AC,Godrej 1.5 Ton 3 Star Split AC,1350,Godrej,May-June,Medium
AC,Panasonic 1.5 Ton Inverter Split AC,1200,Panasonic,June-August,High
AC,Mitsubishi Electric 1.5 Ton Split AC,1400,Mitsubishi,May-August,High
AC,LG 2 Ton Dual Inverter AC,2000,LG,May-August,High
AC,Daikin 2 Ton Inverter Split AC,1800,Daikin,June-August,High
AC,Whirlpool 1.5 Ton Inverter AC,1250,Whirlpool,June-August,Medium
AC,Samsung 2 Ton Inverter Split AC,1900,Samsung,May-July,High
AC,Hitachi 1.5 Ton Inverter AC,1100,Hitachi,June-August,Medium
AC,Panasonic 2 Ton Inverter AC,1850,Panasonic,May-August,High
AC,Voltas 1 Ton Split AC,1000,Voltas,June-August,Medium
AC,LG 1.5 Ton 5 Star Split AC,1350,LG,May-July,High
AC,Blue Star 1 Ton Inverter AC,1200,Blue Star,June-August,Medium
AC,Godrej 2 Ton Inverter AC,1850,Godrej,May-August,High
AC,Carrier 1 Ton 5 Star Inverter AC,1150,Carrier,June-August,Medium
AC,Mitsubishi 1.5 Ton Split AC,1300,Mitsubishi,May-July,High
AC,Daikin 1.5 Ton 5 Star Split AC,1350,Daikin,June-August,Medium
AC,Hitachi 1.5 Ton 3 Star AC,1250,Hitachi,May-July,Medium
AC,Blue Star 1.5 Ton 5 Star Inverter AC,1450,Blue Star,June-August,High
AC,LG Dual Inverter AC 1.5 Ton,1500,LG,May-August,High
AC,Samsung Wind-Free AC 1.5 Ton,1400,Samsung,June-August,Medium
AC,Carrier 2 Ton Split AC,2000,Carrier,May-July,High
